,DE,UK,NO
1,0.08935133947363438,0.6293922288458229,0.49918272921519147
2,0.7690030474732337,0.44503264684072674,0.2874073994598546
3,0.5708595377201409,0.2948135045078206,0.15297391332073373
4,0.38636018483149326,0.3607193538738195,0.24115151847853133
5,0.24563426490732476,0.2330660136394519,0.6130878790735549
6,0.15014287143912874,0.1456088165394126,0.47376872125666547
7,0.08961408849140873,0.08909545872335611,0.26982791085406466
8,0.9478158568716745,0.05382916622781775,0.6861188876245314
9,0.8180173194279484,0.032274138585245304,0.43305784594331154
10,0.8103763952199992,0.019261480713396395,0.3889156066344145
11,0.9213802847513599,0.011463516429987997,0.21429874790553427
12,0.7962145907188894,0.39029280461839133,0.5634132649630765
13,0.6004716414949789,0.25417208964155147,0.33353969534146244
14,0.4108800728031671,0.15953967846361627,0.502157713439639
15,0.39537404999967807,0.09787354607528709,0.3310429994387253
16,0.25182677686927046,0.05921003880020548,0.17864411211088227
17,0.36226231414459753,0.36026598376556507,0.11644693656051319
18,0.22843081276098487,0.23253513908441747,0.6112084471084971
19,0.13885370962540766,0.5368338669334392,0.37019369219988807
20,0.0825584385121142,0.40608830485560554,0.24239724102650695
21,0.04844861817003088,0.9375779588376524,0.7195705084963736
22,0.5100615035707747,0.8065876943615183,0.4631884715116551
23,0.33710028925552915,0.8056973950136641,0.26241517946100545
24,0.37142576032758456,0.6210041623093446,0.1383519646783551
25,0.2347082367408505,0.43703024660362644,0.07025514339652694
26,0.14281332098805422,0.3238845264230106,0.03880291615604525
27,0.08493940085085383,0.2068395928324248,0.10200367069825189
28,0.04984104494212249,0.4187587580262192,0.6099240313006886
29,0.478030824983529,0.44008018884181954,0.5692812836375518
30,0.31229530653306725,0.2905726175680642,0.5663794412221769
31,0.9151388999934397,0.18387899615190573,0.33541605894193294
32,0.7583445765878667,0.11330807514726882,0.2509739998203898
33,0.5585272508018371,0.0686945840392571,0.13176282657419358
34,0.3754191366579589,0.46859883840946837,0.5114727184571914
35,0.23732184171944903,0.3120915718429135,0.2954524199691365
36,0.14437757939136586,0.7519412497638238,0.25468076134149065
37,0.2832037929120922,0.8108736381425481,0.43864260503333485
38,0.17436322812311222,0.6266250941333544,0.34678487390564083
39,0.5302054603873025,0.4416444833679355,0.18789475627535457
40,0.712425296339301,0.5188583587582429,0.20614243338517524
41,0.5117644830882826,0.35124242565277863,0.14151176168400303
42,0.33795028401577976,0.24011690037381594,0.3080482719546971
43,0.21117537668806763,0.14988286639680548,0.16920961283327896
44,0.1275291178862762,0.2079570084286888,0.08659033576628317
45,0.22113752306998624,0.12876961464783632,0.043283136690907886
46,0.23944400903242646,0.7388318517966708,0.08240697799595698
47,0.14561392585542698,0.547841426340492,0.04483586898077607
48,0.23579695399911482,0.425549625325498,0.21430495014489115
49,0.14323690148780144,0.2794015537330292,0.11112733598825975
50,0.1430761416764409,0.17607455348569034,0.05590976612644627
51,0.0849229010079583,0.10815784896870984,0.02770634832104002
52,0.049725058191290805,0.06540986426938389,0.013627305605694917
53,0.02888459143290667,0.19226933875323804,0.4017444368551465
54,0.016700774000968588,0.11853742065610717,0.2688758941150533
55,0.009629954642407013,0.38312323248849656,0.20477954161708511
56,0.44024519605776113,0.2482990750797167,0.2969645721837919
57,0.5378073932546819,0.18540611365539672,0.8382586077767662
58,0.6538006379968287,0.6540709043107165,0.8099205231276816
59,0.6390161952674477,0.4658314019240585,0.5754900884780833
60,0.6832650125884852,0.3799637934678449,0.34178989719312325
61,0.5291105744524939,0.24595727504323162,0.184648838518792
62,0.35108766813600445,0.15356938447333746,0.7296830817790712
63,0.21987528321432648,0.8125480059358378,0.47188492780998137
64,0.2328221928221459,0.6279251921057938,0.26770550163435824
65,0.14113960598961706,0.44221601033030244,0.6418352646022839
66,0.5660612248158092,0.3120562564229584,0.4570161454460506
67,0.38071005130485436,0.5878680434607191,0.25768361003712537
68,0.4495550531790887,0.44735035519345334,0.13531741510086281
69,0.48433823553051947,0.6509724837239569,0.06848045063108765
70,0.31617372350811435,0.46278550613790614,0.2997127102638768
71,0.4823801046422319,0.7678593263047799,0.6472322651636722
72,0.4168371434556418,0.62441343907364,0.6332892679377577
73,0.3915877034015648,0.4389636075987827,0.42737352369206194
74,0.24802218465583803,0.28901441775115033,0.2424333619240049
75,0.32988430728621587,0.5983522693024667,0.12666044412412603
76,0.2051484747429535,0.41625408936502306,0.06392424720632839
77,0.12337854346150223,0.27213208471034167,0.031706728485186964
78,0.18034606775343065,0.23397594765538676,0.015592086860987786
79,0.10777831296392826,0.14552361137014125,0.007635150284428183
80,0.06329799229532473,0.45614843801738036,0.19787577938353407
81,0.3308013759902767,0.30186200573379607,0.16910652778951474
82,0.20569231075018113,0.19102682090360668,0.1460466880130501
83,0.12367250778132421,0.11755289572013394,0.07410190867927768
84,0.6728021779938329,0.16566634834399907,0.036848416450252164
85,0.5708940187547431,0.10132887567950322,0.3338746024316477
86,0.3842529900183327,0.701606629015865,0.29443774748683926
87,0.4339309947023311,0.5099743755594591,0.1603037115560887
88,0.2782715160484792,0.3434152380580223,0.34384879493139775
89,0.4361648721839705,0.21973559613653937,0.20338118019601037
90,0.2798761059391983,0.318395075306217,0.38320747261170074
91,0.2497723562808325,0.22076533543843746,0.3285100163616551
92,0.2086339669365086,0.13679422101869976,0.17648930361058712
93,0.12546113387413727,0.41553232358326864,0.09062472515073783
94,0.07392464883354943,0.6603963368107763,0.2813747570127517
95,0.04304106939306629,0.47103528837909825,0.2641505837236
96,0.0687911521290151,0.3130645942670027,0.26214082109345793
97,0.040001934497209346,0.8158660949782833,0.39749760816839286
98,0.02311139175771526,0.6312792556176157,0.21887904665872404
99,0.051944159303424775,0.444716579055347,0.11346783592874998
100,0.035240462399863115,0.3841249179916546,0.3007115269429287
101,0.02033651720018248,0.5642923437052982,0.16003481109866502
102,0.011697223157947745,0.3872683427930823,0.28648109756068807
103,0.0067152439661417596,0.47807130540748666,0.3315510308681906
104,0.07729780803540831,0.3184348988697683,0.24061662172887333
